HUE and Delta-E color differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (hue diff), (delta-e diff)
((1, 14), (2, 11), (22), (20))
((1, 14), (2, 19), (23), (14))
((1, 14), (2, 2), (55), (27))
((1, 14), (2, 20), (34), (14))
((1, 14), (2, 24), (33), (18))
((1, 14), (2, 26), (31), (25))
((1, 14), (2, 28), (19), (18))
((1, 14), (2, 30), (20), (23))
((1, 14), (2, 31), (32), (17))
((1, 14), (2, 32), (29), (18))
((1, 14), (2, 33), (208), (47))
((1, 14), (2, 39), (38), (28))
((1, 14), (2, 44), (25), (34))
((1, 14), (2, 45), (78), (26))
((1, 14), (2, 48), (13), (32))
((1, 14), (2, 49), (19), (36))
((1, 14), (2, 50), (26), (35))
((1, 14), (2, 52), (21), (14))
((1, 14), (2, 53), (32), (17))
((1, 14), (2, 6), (28), (32))
((1, 14), (2, 8), (36), (21))
((1, 15), (2, 1), (39), (15))
((1, 15), (2, 11), (33), (16))
((1, 15), (2, 19), (34), (12))
((1, 15), (2, 2), (66), (25))
((1, 15), (2, 20), (45), (14))
((1, 15), (2, 24), (44), (17))
((1, 15), (2, 26), (42), (23))
((1, 15), (2, 28), (30), (16))
((1, 15), (2, 30), (9), (19))
((1, 15), (2, 31), (43), (16))
((1, 15), (2, 32), (40), (17))
((1, 15), (2, 33), (219), (44))
((1, 15), (2, 39), (27), (25))
((1, 15), (2, 44), (36), (30))
((1, 15), (2, 45), (67), (23))
((1, 15), (2, 48), (24), (29))
((1, 15), (2, 49), (30), (32))
((1, 15), (2, 50), (37), (32))
((1, 15), (2, 52), (32), (11))
((1, 15), (2, 53), (42), (16))
((1, 15), (2, 6), (39), (29))
((1, 15), (2, 8), (47), (20))
((1, 16), (2, 1), (55), (19))
((1, 16), (2, 11), (49), (23))
((1, 16), (2, 19), (50), (17))
((1, 16), (2, 2), (82), (29))
((1, 16), (2, 20), (60), (17))
((1, 16), (2, 24), (60), (21))
((1, 16), (2, 26), (58), (28))
((1, 16), (2, 28), (45), (21))
((1, 16), (2, 30), (7), (25))
((1, 16), (2, 31), (58), (20))
((1, 16), (2, 32), (56), (21))
((1, 16), (2, 33), (235), (49))
((1, 16), (2, 39), (12), (30))
((1, 16), (2, 44), (51), (36))
((1, 16), (2, 45), (51), (28))
((1, 16), (2, 48), (40), (34))
((1, 16), (2, 49), (45), (38))
((1, 16), (2, 50), (53), (38))
((1, 16), (2, 52), (48), (17))
((1, 16), (2, 53), (58), (20))
((1, 16), (2, 6), (54), (35))
((1, 16), (2, 8), (63), (24))
((1, 17), (2, 1), (41), (18))
((1, 17), (2, 11), (35), (20))
((1, 17), (2, 19), (36), (15))
((1, 17), (2, 2), (68), (28))
((1, 17), (2, 20), (47), (16))
((1, 17), (2, 24), (46), (20))
((1, 17), (2, 26), (44), (26))
((1, 17), (2, 28), (32), (19))
((1, 17), (2, 30), (7), (23))
((1, 17), (2, 31), (45), (19))
((1, 17), (2, 32), (42), (20))
((1, 17), (2, 33), (221), (48))
((1, 17), (2, 39), (25), (29))
((1, 17), (2, 44), (38), (34))
((1, 17), (2, 45), (65), (27))
((1, 17), (2, 48), (26), (33))
((1, 17), (2, 49), (32), (36))
((1, 17), (2, 50), (39), (36))
((1, 17), (2, 52), (34), (15))
((1, 17), (2, 53), (44), (19))
((1, 17), (2, 6), (41), (33))
((1, 17), (2, 8), (49), (22))
((1, 18), (2, 1), (175), (21))
((1, 18), (2, 11), (181), (23))
((1, 18), (2, 19), (180), (25))
((1, 18), (2, 2), (148), (15))
((1, 18), (2, 20), (170), (21))
((1, 18), (2, 24), (170), (22))
((1, 18), (2, 26), (172), (19))
((1, 18), (2, 28), (185), (19))
((1, 18), (2, 30), (224), (17))
((1, 18), (2, 31), (172), (19))
((1, 18), (2, 32), (175), (22))
((1, 18), (2, 33), (4), (20))
((1, 18), (2, 39), (242), (17))
((1, 18), (2, 44), (179), (26))
((1, 18), (2, 45), (282), (15))
((1, 18), (2, 48), (190), (20))
((1, 18), (2, 49), (185), (20))
((1, 18), (2, 50), (177), (26))
((1, 18), (2, 52), (182), (25))
((1, 18), (2, 53), (172), (25))
((1, 18), (2, 6), (176), (23))
((1, 18), (2, 8), (168), (21))
((1, 19), (2, 1), (25), (5))
((1, 19), (2, 11), (18), (6))
((1, 19), (2, 19), (19), (5))
((1, 19), (2, 2), (51), (14))
((1, 19), (2, 20), (30), (7))
((1, 19), (2, 24), (29), (7))
((1, 19), (2, 26), (27), (11))
((1, 19), (2, 28), (15), (4))
((1, 19), (2, 30), (24), (9))
((1, 19), (2, 31), (28), (6))
((1, 19), (2, 32), (25), (6))
((1, 19), (2, 33), (204), (34))
((1, 19), (2, 39), (42), (14))
((1, 19), (2, 44), (21), (20))
((1, 19), (2, 45), (82), (13))
((1, 19), (2, 48), (9), (18))
((1, 19), (2, 49), (15), (22))
((1, 19), (2, 50), (22), (22))
((1, 19), (2, 52), (17), (4))
((1, 19), (2, 53), (27), (8))
((1, 19), (2, 6), (24), (18))
((1, 19), (2, 8), (32), (9))
((1, 2), (2, 1), (176), (11))
((1, 2), (2, 11), (183), (15))
((1, 2), (2, 19), (182), (14))
((1, 2), (2, 2), (150), (13))
((1, 2), (2, 20), (171), (10))
((1, 2), (2, 24), (172), (12))
((1, 2), (2, 26), (174), (15))
((1, 2), (2, 28), (186), (11))
((1, 2), (2, 30), (225), (13))
((1, 2), (2, 31), (173), (10))
((1, 2), (2, 32), (176), (13))
((1, 2), (2, 33), (3), (32))
((1, 2), (2, 39), (243), (17))
((1, 2), (2, 44), (180), (26))
((1, 2), (2, 45), (283), (14))
((1, 2), (2, 48), (192), (21))
((1, 2), (2, 49), (186), (23))
((1, 2), (2, 50), (179), (26))
((1, 2), (2, 52), (184), (14))
((1, 2), (2, 53), (174), (15))
((1, 2), (2, 6), (177), (22))
((1, 2), (2, 8), (169), (13))
((1, 20), (2, 1), (53), (24))
((1, 20), (2, 11), (46), (21))
((1, 20), (2, 19), (47), (27))
((1, 20), (2, 2), (79), (18))
((1, 20), (2, 20), (58), (27))
((1, 20), (2, 24), (57), (24))
((1, 20), (2, 26), (55), (17))
((1, 20), (2, 28), (43), (21))
((1, 20), (2, 30), (4), (15))
((1, 20), (2, 31), (56), (24))
((1, 20), (2, 32), (53), (23))
((1, 20), (2, 33), (232), (13))
((1, 20), (2, 39), (14), (9))
((1, 20), (2, 44), (49), (13))
((1, 20), (2, 45), (54), (12))
((1, 20), (2, 48), (37), (7))
((1, 20), (2, 49), (43), (6))
((1, 20), (2, 50), (50), (12))
((1, 20), (2, 52), (45), (26))
((1, 20), (2, 53), (56), (26))
((1, 20), (2, 6), (52), (12))
((1, 20), (2, 8), (60), (23))
((1, 21), (2, 1), (3), (13))
((1, 21), (2, 11), (3), (18))
((1, 21), (2, 19), (2), (12))
((1, 21), (2, 2), (30), (23))
((1, 21), (2, 20), (8), (11))
((1, 21), (2, 24), (8), (15))
((1, 21), (2, 26), (6), (22))
((1, 21), (2, 28), (7), (16))
((1, 21), (2, 30), (46), (22))
((1, 21), (2, 31), (6), (14))
((1, 21), (2, 32), (3), (15))
((1, 21), (2, 33), (182), (45))
((1, 21), (2, 39), (64), (28))
((1, 21), (2, 44), (1), (32))
((1, 21), (2, 45), (104), (26))
((1, 21), (2, 48), (12), (31))
((1, 21), (2, 49), (7), (34))
((1, 21), (2, 50), (1), (33))
((1, 21), (2, 52), (4), (12))
((1, 21), (2, 53), (6), (14))
((1, 21), (2, 6), (2), (30))
((1, 21), (2, 8), (10), (18))
((1, 23), (2, 1), (160), (20))
((1, 23), (2, 11), (167), (26))
((1, 23), (2, 19), (166), (25))
((1, 23), (2, 2), (133), (18))
((1, 23), (2, 20), (155), (18))
((1, 23), (2, 24), (155), (21))
((1, 23), (2, 26), (158), (23))
((1, 23), (2, 28), (170), (21))
((1, 23), (2, 30), (209), (23))
((1, 23), (2, 31), (157), (19))
((1, 23), (2, 32), (160), (22))
((1, 23), (2, 33), (19), (34))
((1, 23), (2, 39), (227), (26))
((1, 23), (2, 44), (164), (35))
((1, 23), (2, 45), (267), (23))
((1, 23), (2, 48), (175), (28))
((1, 23), (2, 49), (170), (30))
((1, 23), (2, 50), (162), (35))
((1, 23), (2, 52), (168), (25))
((1, 23), (2, 53), (157), (25))
((1, 23), (2, 6), (161), (31))
((1, 23), (2, 8), (153), (22))
((1, 24), (2, 1), (8), (8))
((1, 24), (2, 11), (14), (8))
((1, 24), (2, 19), (13), (9))
((1, 24), (2, 2), (19), (13))
((1, 24), (2, 20), (3), (10))
((1, 24), (2, 24), (3), (7))
((1, 24), (2, 26), (5), (10))
((1, 24), (2, 28), (18), (10))
((1, 24), (2, 30), (57), (17))
((1, 24), (2, 31), (5), (9))
((1, 24), (2, 32), (8), (7))
((1, 24), (2, 33), (171), (35))
((1, 24), (2, 39), (75), (21))
((1, 24), (2, 44), (12), (16))
((1, 24), (2, 45), (115), (22))
((1, 24), (2, 48), (23), (19))
((1, 24), (2, 49), (18), (21))
((1, 24), (2, 50), (10), (18))
((1, 24), (2, 52), (15), (9))
((1, 24), (2, 53), (5), (5))
((1, 24), (2, 6), (9), (15))
((1, 24), (2, 8), (1), (6))
((1, 25), (2, 1), (178), (21))
((1, 25), (2, 11), (184), (25))
((1, 25), (2, 19), (183), (24))
((1, 25), (2, 2), (151), (21))
((1, 25), (2, 20), (172), (20))
((1, 25), (2, 24), (173), (23))
((1, 25), (2, 26), (175), (23))
((1, 25), (2, 28), (188), (20))
((1, 25), (2, 30), (226), (21))
((1, 25), (2, 31), (174), (20))
((1, 25), (2, 32), (177), (22))
((1, 25), (2, 33), (2), (34))
((1, 25), (2, 39), (244), (24))
((1, 25), (2, 44), (182), (33))
((1, 25), (2, 45), (284), (20))
((1, 25), (2, 48), (193), (28))
((1, 25), (2, 49), (187), (29))
((1, 25), (2, 50), (180), (33))
((1, 25), (2, 52), (185), (24))
((1, 25), (2, 53), (175), (25))
((1, 25), (2, 6), (179), (30))
((1, 25), (2, 8), (170), (23))
((1, 26), (2, 1), (34), (17))
((1, 26), (2, 11), (28), (20))
((1, 26), (2, 19), (29), (14))
((1, 26), (2, 2), (61), (27))
((1, 26), (2, 20), (39), (15))
((1, 26), (2, 24), (39), (19))
((1, 26), (2, 26), (37), (26))
((1, 26), (2, 28), (24), (19))
((1, 26), (2, 30), (15), (24))
((1, 26), (2, 31), (37), (18))
((1, 26), (2, 32), (34), (19))
((1, 26), (2, 33), (213), (47))
((1, 26), (2, 39), (33), (29))
((1, 26), (2, 44), (30), (34))
((1, 26), (2, 45), (73), (27))
((1, 26), (2, 48), (19), (33))
((1, 26), (2, 49), (24), (36))
((1, 26), (2, 50), (32), (36))
((1, 26), (2, 52), (27), (15))
((1, 26), (2, 53), (37), (18))
((1, 26), (2, 6), (33), (33))
((1, 26), (2, 8), (41), (22))
((1, 27), (2, 1), (182), (24))
((1, 27), (2, 11), (188), (28))
((1, 27), (2, 19), (187), (25))
((1, 27), (2, 2), (155), (28))
((1, 27), (2, 20), (177), (22))
((1, 27), (2, 24), (177), (26))
((1, 27), (2, 26), (179), (29))
((1, 27), (2, 28), (192), (24))
((1, 27), (2, 30), (231), (26))
((1, 27), (2, 31), (179), (23))
((1, 27), (2, 32), (182), (26))
((1, 27), (2, 33), (3), (42))
((1, 27), (2, 39), (249), (29))
((1, 27), (2, 44), (186), (39))
((1, 27), (2, 45), (289), (26))
((1, 27), (2, 48), (197), (34))
((1, 27), (2, 49), (192), (36))
((1, 27), (2, 50), (184), (39))
((1, 27), (2, 52), (189), (25))
((1, 27), (2, 53), (179), (27))
((1, 27), (2, 6), (183), (36))
((1, 27), (2, 8), (175), (28))
((1, 28), (2, 1), (112), (22))
((1, 28), (2, 11), (105), (24))
((1, 28), (2, 19), (106), (20))
((1, 28), (2, 2), (138), (30))
((1, 28), (2, 20), (117), (21))
((1, 28), (2, 24), (116), (25))
((1, 28), (2, 26), (114), (29))
((1, 28), (2, 28), (102), (21))
((1, 28), (2, 30), (63), (22))
((1, 28), (2, 31), (115), (23))
((1, 28), (2, 32), (112), (24))
((1, 28), (2, 33), (291), (46))
((1, 28), (2, 39), (45), (27))
((1, 28), (2, 44), (108), (36))
((1, 28), (2, 45), (5), (24))
((1, 28), (2, 48), (96), (32))
((1, 28), (2, 49), (102), (36))
((1, 28), (2, 50), (109), (38))
((1, 28), (2, 52), (104), (20))
((1, 28), (2, 53), (115), (25))
((1, 28), (2, 6), (111), (35))
((1, 28), (2, 8), (119), (28))
((1, 29), (2, 1), (178), (13))
((1, 29), (2, 11), (184), (17))
((1, 29), (2, 19), (183), (16))
((1, 29), (2, 2), (151), (14))
((1, 29), (2, 20), (173), (12))
((1, 29), (2, 24), (173), (14))
((1, 29), (2, 26), (175), (16))
((1, 29), (2, 28), (188), (12))
((1, 29), (2, 30), (227), (14))
((1, 29), (2, 31), (175), (12))
((1, 29), (2, 32), (178), (14))
((1, 29), (2, 33), (1), (31))
((1, 29), (2, 39), (245), (17))
((1, 29), (2, 44), (182), (26))
((1, 29), (2, 45), (285), (14))
((1, 29), (2, 48), (193), (21))
((1, 29), (2, 49), (188), (24))
((1, 29), (2, 50), (180), (27))
((1, 29), (2, 52), (185), (16))
((1, 29), (2, 53), (175), (17))
((1, 29), (2, 6), (179), (23))
((1, 29), (2, 8), (171), (15))
((1, 3), (2, 1), (45), (16))
((1, 3), (2, 11), (39), (19))
((1, 3), (2, 19), (40), (14))
((1, 3), (2, 2), (72), (26))
((1, 3), (2, 20), (50), (14))
((1, 3), (2, 24), (50), (18))
((1, 3), (2, 26), (48), (25))
((1, 3), (2, 28), (35), (18))
((1, 3), (2, 30), (4), (22))
((1, 3), (2, 31), (48), (17))
((1, 3), (2, 32), (45), (18))
((1, 3), (2, 33), (224), (46))
((1, 3), (2, 39), (22), (28))
((1, 3), (2, 44), (41), (33))
((1, 3), (2, 45), (62), (25))
((1, 3), (2, 48), (30), (32))
((1, 3), (2, 49), (35), (35))
((1, 3), (2, 50), (43), (35))
((1, 3), (2, 52), (38), (14))
((1, 3), (2, 53), (48), (18))
((1, 3), (2, 6), (44), (32))
((1, 3), (2, 8), (52), (21))
((1, 30), (2, 1), (159), (15))
((1, 30), (2, 11), (165), (21))
((1, 30), (2, 19), (164), (18))
((1, 30), (2, 2), (132), (16))
((1, 30), (2, 20), (154), (12))
((1, 30), (2, 24), (154), (16))
((1, 30), (2, 26), (156), (19))
((1, 30), (2, 28), (169), (16))
((1, 30), (2, 30), (208), (20))
((1, 30), (2, 31), (156), (14))
((1, 30), (2, 32), (159), (17))
((1, 30), (2, 33), (20), (36))
((1, 30), (2, 39), (226), (23))
((1, 30), (2, 44), (163), (32))
((1, 30), (2, 45), (266), (20))
((1, 30), (2, 48), (174), (26))
((1, 30), (2, 49), (169), (28))
((1, 30), (2, 50), (161), (32))
((1, 30), (2, 52), (166), (19))
((1, 30), (2, 53), (156), (19))
((1, 30), (2, 6), (160), (28))
((1, 30), (2, 8), (152), (17))
((1, 31), (2, 1), (174), (14))
((1, 31), (2, 11), (180), (19))
((1, 31), (2, 19), (179), (17))
((1, 31), (2, 2), (147), (16))
((1, 31), (2, 20), (168), (12))
((1, 31), (2, 24), (169), (15))
((1, 31), (2, 26), (171), (18))
((1, 31), (2, 28), (183), (14))
((1, 31), (2, 30), (222), (17))
((1, 31), (2, 31), (170), (13))
((1, 31), (2, 32), (173), (16))
((1, 31), (2, 33), (6), (34))
((1, 31), (2, 39), (240), (20))
((1, 31), (2, 44), (177), (29))
((1, 31), (2, 45), (280), (17))
((1, 31), (2, 48), (189), (24))
((1, 31), (2, 49), (183), (26))
((1, 31), (2, 50), (176), (29))
((1, 31), (2, 52), (181), (17))
((1, 31), (2, 53), (171), (18))
((1, 31), (2, 6), (174), (26))
((1, 31), (2, 8), (166), (16))
((1, 32), (2, 1), (169), (28))
((1, 32), (2, 11), (176), (30))
((1, 32), (2, 19), (175), (31))
((1, 32), (2, 2), (143), (20))
((1, 32), (2, 20), (164), (27))
((1, 32), (2, 24), (165), (28))
((1, 32), (2, 26), (167), (25))
((1, 32), (2, 28), (179), (25))
((1, 32), (2, 30), (218), (25))
((1, 32), (2, 31), (166), (25))
((1, 32), (2, 32), (169), (29))
((1, 32), (2, 33), (10), (23))
((1, 32), (2, 39), (236), (25))
((1, 32), (2, 44), (173), (33))
((1, 32), (2, 45), (276), (22))
((1, 32), (2, 48), (185), (26))
((1, 32), (2, 49), (179), (26))
((1, 32), (2, 50), (172), (35))
((1, 32), (2, 52), (177), (31))
((1, 32), (2, 53), (166), (32))
((1, 32), (2, 6), (170), (31))
((1, 32), (2, 8), (162), (27))
((1, 33), (2, 1), (196), (11))
((1, 33), (2, 11), (203), (14))
((1, 33), (2, 19), (202), (13))
((1, 33), (2, 2), (170), (14))
((1, 33), (2, 20), (191), (10))
((1, 33), (2, 24), (192), (13))
((1, 33), (2, 26), (194), (14))
((1, 33), (2, 28), (206), (9))
((1, 33), (2, 30), (245), (11))
((1, 33), (2, 31), (193), (10))
((1, 33), (2, 32), (196), (12))
((1, 33), (2, 33), (17), (31))
((1, 33), (2, 39), (263), (15))
((1, 33), (2, 44), (200), (24))
((1, 33), (2, 45), (303), (12))
((1, 33), (2, 48), (212), (20))
((1, 33), (2, 49), (206), (22))
((1, 33), (2, 50), (199), (25))
((1, 33), (2, 52), (204), (13))
((1, 33), (2, 53), (194), (15))
((1, 33), (2, 6), (197), (22))
((1, 33), (2, 8), (189), (14))
((1, 34), (2, 1), (27), (34))
((1, 34), (2, 11), (21), (29))
((1, 34), (2, 19), (22), (36))
((1, 34), (2, 2), (54), (28))
((1, 34), (2, 20), (33), (38))
((1, 34), (2, 24), (32), (33))
((1, 34), (2, 26), (30), (24))
((1, 34), (2, 28), (18), (31))
((1, 34), (2, 30), (21), (25))
((1, 34), (2, 31), (31), (34))
((1, 34), (2, 32), (28), (32))
((1, 34), (2, 33), (207), (22))
((1, 34), (2, 39), (39), (20))
((1, 34), (2, 44), (24), (14))
((1, 34), (2, 45), (79), (24))
((1, 34), (2, 48), (12), (16))
((1, 34), (2, 49), (18), (15))
((1, 34), (2, 50), (25), (13))
((1, 34), (2, 52), (20), (35))
((1, 34), (2, 53), (30), (34))
((1, 34), (2, 6), (27), (16))
((1, 34), (2, 8), (35), (31))
((1, 35), (2, 1), (126), (24))
((1, 35), (2, 11), (119), (26))
((1, 35), (2, 19), (120), (22))
((1, 35), (2, 2), (153), (33))
((1, 35), (2, 20), (131), (22))
((1, 35), (2, 24), (130), (27))
((1, 35), (2, 26), (128), (31))
((1, 35), (2, 28), (116), (24))
((1, 35), (2, 30), (77), (26))
((1, 35), (2, 31), (129), (25))
((1, 35), (2, 32), (126), (26))
((1, 35), (2, 33), (305), (49))
((1, 35), (2, 39), (59), (31))
((1, 35), (2, 44), (122), (39))
((1, 35), (2, 45), (19), (28))
((1, 35), (2, 48), (110), (36))
((1, 35), (2, 49), (116), (39))
((1, 35), (2, 50), (124), (41))
((1, 35), (2, 52), (118), (22))
((1, 35), (2, 53), (129), (27))
((1, 35), (2, 6), (125), (38))
((1, 35), (2, 8), (133), (30))
((1, 36), (2, 1), (55), (45))
((1, 36), (2, 11), (48), (40))
((1, 36), (2, 19), (49), (49))
((1, 36), (2, 2), (81), (35))
((1, 36), (2, 20), (60), (50))
((1, 36), (2, 24), (59), (44))
((1, 36), (2, 26), (57), (34))
((1, 36), (2, 28), (45), (41))
((1, 36), (2, 30), (6), (33))
((1, 36), (2, 31), (58), (44))
((1, 36), (2, 32), (55), (42))
((1, 36), (2, 33), (234), (18))
((1, 36), (2, 39), (12), (27))
((1, 36), (2, 44), (51), (26))
((1, 36), (2, 45), (52), (30))
((1, 36), (2, 48), (39), (24))
((1, 36), (2, 49), (45), (21))
((1, 36), (2, 50), (52), (25))
((1, 36), (2, 52), (47), (48))
((1, 36), (2, 53), (58), (47))
((1, 36), (2, 6), (54), (26))
((1, 36), (2, 8), (62), (41))
((1, 37), (2, 1), (145), (20))
((1, 37), (2, 11), (139), (21))
((1, 37), (2, 19), (140), (20))
((1, 37), (2, 2), (172), (26))
((1, 37), (2, 20), (150), (20))
((1, 37), (2, 24), (150), (23))
((1, 37), (2, 26), (148), (24))
((1, 37), (2, 28), (135), (18))
((1, 37), (2, 30), (96), (16))
((1, 37), (2, 31), (148), (20))
((1, 37), (2, 32), (145), (22))
((1, 37), (2, 33), (324), (37))
((1, 37), (2, 39), (78), (20))
((1, 37), (2, 44), (141), (31))
((1, 37), (2, 45), (38), (17))
((1, 37), (2, 48), (130), (26))
((1, 37), (2, 49), (135), (29))
((1, 37), (2, 50), (143), (33))
((1, 37), (2, 52), (138), (20))
((1, 37), (2, 53), (148), (25))
((1, 37), (2, 6), (144), (30))
((1, 37), (2, 8), (152), (26))
((1, 38), (2, 1), (185), (17))
((1, 38), (2, 11), (191), (20))
((1, 38), (2, 19), (190), (20))
((1, 38), (2, 2), (158), (18))
((1, 38), (2, 20), (180), (17))
((1, 38), (2, 24), (180), (19))
((1, 38), (2, 26), (182), (19))
((1, 38), (2, 28), (195), (16))
((1, 38), (2, 30), (234), (16))
((1, 38), (2, 31), (182), (16))
((1, 38), (2, 32), (185), (19))
((1, 38), (2, 33), (6), (31))
((1, 38), (2, 39), (252), (18))
((1, 38), (2, 44), (189), (29))
((1, 38), (2, 45), (292), (15))
((1, 38), (2, 48), (200), (23))
((1, 38), (2, 49), (195), (25))
((1, 38), (2, 50), (187), (29))
((1, 38), (2, 52), (192), (20))
((1, 38), (2, 53), (182), (21))
((1, 38), (2, 6), (186), (26))
((1, 38), (2, 8), (178), (20))
((1, 39), (2, 1), (186), (13))
((1, 39), (2, 11), (192), (16))
((1, 39), (2, 19), (192), (17))
((1, 39), (2, 2), (159), (13))
((1, 39), (2, 20), (181), (13))
((1, 39), (2, 24), (181), (15))
((1, 39), (2, 26), (183), (14))
((1, 39), (2, 28), (196), (11))
((1, 39), (2, 30), (235), (11))
((1, 39), (2, 31), (183), (12))
((1, 39), (2, 32), (186), (14))
((1, 39), (2, 33), (7), (27))
((1, 39), (2, 39), (253), (14))
((1, 39), (2, 44), (190), (24))
((1, 39), (2, 45), (293), (11))
((1, 39), (2, 48), (201), (18))
((1, 39), (2, 49), (196), (20))
((1, 39), (2, 50), (188), (24))
((1, 39), (2, 52), (193), (17))
((1, 39), (2, 53), (183), (17))
((1, 39), (2, 6), (187), (21))
((1, 39), (2, 8), (179), (15))
((1, 4), (2, 1), (181), (16))
((1, 4), (2, 11), (188), (21))
((1, 4), (2, 19), (187), (19))
((1, 4), (2, 2), (155), (20))
((1, 4), (2, 20), (176), (15))
((1, 4), (2, 24), (177), (18))
((1, 4), (2, 26), (179), (21))
((1, 4), (2, 28), (191), (16))
((1, 4), (2, 30), (230), (18))
((1, 4), (2, 31), (178), (16))
((1, 4), (2, 32), (181), (18))
((1, 4), (2, 33), (2), (36))
((1, 4), (2, 39), (248), (22))
((1, 4), (2, 44), (185), (31))
((1, 4), (2, 45), (288), (19))
((1, 4), (2, 48), (197), (26))
((1, 4), (2, 49), (191), (29))
((1, 4), (2, 50), (184), (32))
((1, 4), (2, 52), (189), (19))
((1, 4), (2, 53), (178), (20))
((1, 4), (2, 6), (182), (28))
((1, 4), (2, 8), (174), (20))
((1, 40), (2, 1), (131), (25))
((1, 40), (2, 11), (125), (26))
((1, 40), (2, 19), (126), (24))
((1, 40), (2, 2), (158), (29))
